issuer,document_id,ticker,report_date,forward_return_1d
disney,DIS_FQ2_2022,DIS,2022-05-11,-0.008554
disney,DIS_FQ2_2023,DIS,2023-05-10,-0.087305
disney,DIS_FQ2_2024,DIS,2024-05-07,0.000474
disney,DIS_FQ2_2025,DIS,2025-05-07,0.02968
disney,DIS_FQ3_2021,DIS,2021-08-12,0.009984
disney,DIS_FQ3_2022,DIS,2022-08-10,0.046785
disney,DIS_FQ3_2023,DIS,2023-08-09,0.048806
disney,DIS_FQ3_2024,DIS,2024-08-07,0.0
disney,DIS_FQ3_2025,DIS,2025-08-06,-0.019884
disney,DIS_FQ4_2021,DIS,2021-11-10,-0.070737
disney,DIS_FQ4_2022,DIS,2022-11-08,-0.131632
disney,DIS_FQ4_2023,DIS,2023-11-08,0.069112
disney,DIS_FQ4_2024,DIS,2024-11-14,0.054619
disney,DIS_FQ4_2025,DIS,2025-11-13,-0.01682
target,TGT_FQ1_2021,TGT,2021-05-19,0.012693
target,TGT_FQ1_2022,TGT,2022-05-18,-0.050616
target,TGT_FQ1_2023,TGT,2023-05-17,-0.042123
target,TGT_FQ1_2024,TGT,2024-05-22,0.007957
target,TGT_FQ1_2025,TGT,2025-05-21,0.022041
target,TGT_FQ1_2026,TGT,2026-05-20,0.031227
target,TGT_FQ2_2021,TGT,2021-08-18,-0.008765
target,TGT_FQ2_2022,TGT,2022-08-17,-0.01306
target,TGT_FQ2_2023,TGT,2023-08-16,0.010563
target,TGT_FQ2_2024,TGT,2024-08-21,-0.015259
target,TGT_FQ2_2025,TGT,2025-08-20,-0.016516
target,TGT_FQ3_2021,TGT,2021-11-17,-0.006895
target,TGT_FQ3_2022,TGT,2022-11-16,0.042066
target,TGT_FQ3_2023,TGT,2023-11-15,-0.003986
target,TGT_FQ3_2024,TGT,2024-11-20,-0.001068
target,TGT_FQ3_2025,TGT,2025-11-19,-0.027881
target,TGT_FQ4_2020,TGT,2021-03-02,0.000691
target,TGT_FQ4_2021,TGT,2022-03-01,0.024928
target,TGT_FQ4_2022,TGT,2023-02-28,-0.036202
target,TGT_FQ4_2023,TGT,2024-03-05,0.029422
target,TGT_FQ4_2024,TGT,2025-03-04,-0.004951
target,TGT_FQ4_2025,TGT,2026-03-03,-0.00596
