row_index,event_key,company,ticker,year,quarter,correctable,prior_closing_date,prior_close,next_opening_date,next_day_open,release_date,release_timing,release_date_source,entry_shifted_vs_legacy,report_date_corrected,original_prior_close,original_next_day_open,price_delta_flag,not_correctable_reason
255,Dell|2025|Q3,Dell,DELL,2025,Q3,TRUE,2025-11-25,125.92,2025-11-26,133.58,2025-11-25,after_hours,returns_matrix.csv,TRUE,YES,141.74,124.92,YES,
256,Dell|2025|Q4,Dell,DELL,2025,Q4,TRUE,2026-02-26,121.45,2026-02-27,137.37,2026-02-26,after_hours,returns_matrix.csv,TRUE,YES,107.83,100.96,YES,
257,Standard Chartered|2025|Q1,Standard Chartered,STAN.L,2025,Q1,TRUE,2025-05-01,1097.0,2025-05-02,1130.0,2025-05-02,pre_market,returns_matrix.csv,TRUE,YES,1096.5,1092.0,YES,
258,Standard Chartered|2025|Q2,Standard Chartered,STAN.L,2025,Q2,TRUE,2025-07-30,1370.0,2025-07-31,1382.0,2025-07-31,pre_market,returns_matrix.csv,TRUE,YES,1360.5,1360.0,YES,
259,Standard Chartered|2025|Q3,Standard Chartered,STAN.L,2025,Q3,TRUE,2025-10-29,1516.0,2025-10-30,1545.0,2025-10-30,pre_market,returns_matrix.csv,TRUE,YES,1571.0,1552.0,YES,
260,Standard Chartered|2025|Q4,Standard Chartered,STAN.L,2025,Q4,TRUE,2026-02-20,1802.0,2026-02-23,1811.5,2026-02-23,pre_market,returns_matrix.csv,TRUE,YES,1838.0,1880.5,YES,
261,Palantir|2025|Q1,Palantir,PLTR,2025,Q1,TRUE,2025-05-05,123.77,2025-05-06,112.71,2025-05-05,after_hours,returns_matrix.csv,FALSE,YES,123.77,112.71,NO,
262,Palantir|2025|Q2,Palantir,PLTR,2025,Q2,TRUE,2025-08-04,160.66,2025-08-05,171.81,2025-08-04,after_hours,returns_matrix.csv,FALSE,YES,160.66,171.81,NO,
263,Palantir|2025|Q3,Palantir,PLTR,2025,Q3,TRUE,2025-11-03,207.18,2025-11-04,192.07,2025-11-03,after_hours,returns_matrix.csv,FALSE,YES,207.18,192.07,NO,
264,Palantir|2025|Q4,Palantir,PLTR,2025,Q4,TRUE,2026-02-02,147.76,2026-02-03,165.05,2026-02-02,after_hours,returns_matrix.csv,FALSE,YES,147.76,165.05,NO,
265,MetLife|2025|Q1,MetLife,MET,2025,Q1,FALSE,,,,,,,,,NO,75.37,76.36,,"human-only event; not in LLM returns_matrix — EDGAR lookup deferred, manual verification required"
266,MetLife|2025|Q2,MetLife,MET,2025,Q2,TRUE,2025-08-06,75.95,2025-08-07,72.1,2025-08-06,after_hours,returns_matrix.csv,FALSE,YES,75.95,72.1,NO,
267,MetLife|2025|Q3,MetLife,MET,2025,Q3,TRUE,2025-11-05,78.68,2025-11-06,79.5,2025-11-05,after_hours,returns_matrix.csv,FALSE,YES,78.68,79.5,NO,
268,MetLife|2025|Q4,MetLife,MET,2025,Q4,TRUE,2026-02-04,78.01,2026-02-05,79.5,2026-02-04,after_hours,returns_matrix.csv,FALSE,YES,78.01,79.5,NO,
269,MetLife|2026|Q1,MetLife,MET,2026,Q1,TRUE,2026-05-06,80.16,2026-05-07,80.56,2026-05-06,after_hours,returns_matrix.csv,FALSE,YES,80.16,80.56,NO,
270,MetLife|2023|Q1,MetLife,MET,2023,Q1,FALSE,,,,,,,,,NO,58.71,58.06,,"human-only event; not in LLM returns_matrix — EDGAR lookup deferred, manual verification required"
271,MetLife|2023|Q2,MetLife,MET,2023,Q2,FALSE,,,,,,,,,NO,62.75,63.53,,"human-only event; not in LLM returns_matrix — EDGAR lookup deferred, manual verification required"
272,MetLife|2023|Q3,MetLife,MET,2023,Q3,FALSE,,,,,,,,,NO,59.98,59.99,,"human-only event; not in LLM returns_matrix — EDGAR lookup deferred, manual verification required"
273,MetLife|2023|Q4,MetLife,MET,2023,Q4,FALSE,,,,,,,,,NO,69.32,66.15,,"human-only event; not in LLM returns_matrix — EDGAR lookup deferred, manual verification required"
274,MetLife|2024|Q1,MetLife,MET,2024,Q1,FALSE,,,,,,,,,NO,71.88,72.4,,"human-only event; not in LLM returns_matrix — EDGAR lookup deferred, manual verification required"
275,MetLife|2024|Q2,MetLife,MET,2024,Q2,TRUE,2024-07-31,76.85,2024-08-01,78.61,2024-07-31,after_hours,returns_matrix.csv,FALSE,YES,76.85,78.61,NO,
276,MetLife|2024|Q3,MetLife,MET,2024,Q3,TRUE,2024-10-30,83.18,2024-10-31,76.57,2024-10-30,after_hours,returns_matrix.csv,FALSE,YES,83.18,76.57,NO,
277,MetLife|2024|Q4,MetLife,MET,2024,Q4,FALSE,,,,,,,,,NO,85.0,83.26,,"human-only event; not in LLM returns_matrix — EDGAR lookup deferred, manual verification required"
278,General Mills|2026|Q2,General Mills,GIS,2026,Q2,TRUE,2025-12-16,47.02,2025-12-17,48.0,2025-12-17,pre_market,returns_matrix.csv,TRUE,YES,48.61,48.48,YES,
279,General Mills|2026|Q3,General Mills,GIS,2026,Q3,TRUE,2026-03-17,38.74,2026-03-18,38.65,2026-03-18,pre_market,returns_matrix.csv,TRUE,YES,37.59,37.54,YES,
280,General Mills|2026|Q4,General Mills,GIS,2026,Q4,TRUE,2026-06-30,34.8,2026-07-01,37.72,2026-07-01,pre_market,returns_matrix.csv,TRUE,YES,37.77,38.0,YES,
281,Siemens|2025|Q4,Siemens,SIE.DE,2025,Q4,TRUE,2025-11-12,250.4,2025-11-13,243.55,2025-11-13,pre_market,returns_matrix.csv,TRUE,YES,227.0,227.7,YES,
282,Siemens|2026|Q1,Siemens,SIE.DE,2026,Q1,TRUE,2026-02-11,256.25,2026-02-12,271.6,2026-02-12,pre_market,returns_matrix.csv,TRUE,YES,257.0,252.0,YES,
283,Siemens|2026|Q2,Siemens,SIE.DE,2026,Q2,TRUE,2026-05-12,264.6,2026-05-13,267.15,2026-05-13,pre_market,returns_matrix.csv,TRUE,YES,266.8,270.0,YES,
284,Costco|2026|Q1,Costco,COST,2026,Q1,FALSE,,,,,,,,,NO,884.48,883.3,,"human-only event; not in LLM returns_matrix — EDGAR lookup deferred, manual verification required"
285,Costco|2026|Q2,Costco,COST,2026,Q2,FALSE,,,,,,,,,NO,982.57,967.01,,"human-only event; not in LLM returns_matrix — EDGAR lookup deferred, manual verification required"
286,Costco|2026|Q3,Costco,COST,2026,Q3,FALSE,,,,,,,,,NO,995.2,986.57,,"human-only event; not in LLM returns_matrix — EDGAR lookup deferred, manual verification required"
287,Shopify|2025|Q3,Shopify,SHOP,2025,Q3,FALSE,,,,,,,,,NO,160.94,159.56,,"human-only event; not in LLM returns_matrix — EDGAR lookup deferred, manual verification required"
288,Shopify|2025|Q4,Shopify,SHOP,2025,Q4,FALSE,,,,,,,,,NO,118.71,120.69,,"human-only event; not in LLM returns_matrix — EDGAR lookup deferred, manual verification required"
289,Shopify|2026|Q1,Shopify,SHOP,2026,Q1,FALSE,,,,,,,,,NO,107.63,108.61,,"human-only event; not in LLM returns_matrix — EDGAR lookup deferred, manual verification required"
290,Sony|2025|Q2,Sony,SONY,2025,Q2,FALSE,,,,,,,,,NO,29.16,30.12,,"human-only event; not in LLM returns_matrix — EDGAR lookup deferred, manual verification required"
291,Sony|2025|Q3,Sony,SONY,2025,Q3,FALSE,,,,,,,,,NO,21.24,22.84,,"human-only event; not in LLM returns_matrix — EDGAR lookup deferred, manual verification required"
292,Sony|2026|Q1,Sony,SONY,2026,Q1,FALSE,,,,,,,,,NO,23.26,22.7,,"human-only event; not in LLM returns_matrix — EDGAR lookup deferred, manual verification required"
293,Nestle|2024|Q3,Nestle,NSRGY,2024,Q3,FALSE,,,,,,,,,NO,98.82,99.03,,"human-only event; not in LLM returns_matrix — EDGAR lookup deferred, manual verification required"
294,Nestle|2026|Q1,Nestle,NSRGY,2026,Q1,FALSE,,,,,,,,,NO,101.06,102.66,,"human-only event; not in LLM returns_matrix — EDGAR lookup deferred, manual verification required"
295,Alphabet|2026|Q1,Alphabet,GOOGL,2026,Q1,TRUE,2026-04-29,349.94,2026-04-30,374.07,2026-04-29,after_hours,returns_matrix.csv,FALSE,YES,349.94,374.07,NO,
296,Alphabet|2025|Q3,Alphabet,GOOGL,2025,Q3,TRUE,2025-10-29,274.57,2025-10-30,291.59,2025-10-29,after_hours,returns_matrix.csv,FALSE,YES,274.57,291.59,NO,
297,Alphabet|2025|Q4,Alphabet,GOOGL,2025,Q4,TRUE,2026-02-04,333.04,2026-02-05,312.22,2026-02-04,after_hours,returns_matrix.csv,FALSE,YES,333.04,312.22,NO,
298,Booking Holdings|2025|Q2,Booking Holdings,BKNG,2025,Q2,TRUE,2025-07-29,223.6308,2025-07-30,219.6,2025-07-29,after_hours,returns_matrix.csv,FALSE,YES,223.63,219.6,NO,
299,Booking Holdings|2025|Q3,Booking Holdings,BKNG,2025,Q3,TRUE,2025-10-28,204.8228,2025-10-29,208.0,2025-10-28,after_hours,returns_matrix.csv,FALSE,YES,204.82,208.0,NO,
