objective,window_idx,train_cutoff,test_start,test_end,fitted_upper,fitted_lower,train_n,train_trades,train_mean_net,train_accuracy,train_n_graded,test_n,test_trades,test_mean_net,test_accuracy,test_n_graded,test_n_correct,degenerate
mean_net_per_trade,0,2025-09-30,2025-10-01,2025-12-18,0.5,-0.5,138,3,0.1487487,1.0,3,65,3,0.0138897,0.5,2,1,True
mean_net_per_trade,1,2025-12-31,2026-01-13,2026-03-19,0.5,-0.5,203,6,0.0813192,0.8,5,68,2,-0.0208875,0.5,2,1,True
mean_net_per_trade,2,2026-03-31,2026-04-13,2026-06-23,0.5,-0.5,271,8,0.0557675,0.7143,7,49,0,0.0,,0,0,True
mean_net_per_trade,3,2026-06-30,2026-07-01,2026-08-01,0.5,-0.5,320,8,0.0557675,0.7143,7,5,0,0.0,,0,0,True
directional_accuracy,0,2025-09-30,2025-10-01,2025-12-18,0.45,-0.1,138,34,0.0363243,0.8421,19,65,25,0.0137127,0.625,16,10,False
directional_accuracy,1,2025-12-31,2026-01-13,2026-03-19,0.5,-0.1,203,43,0.0325944,0.7692,26,68,13,0.0389875,0.875,8,7,False
directional_accuracy,2,2026-03-31,2026-04-13,2026-06-23,0.5,-0.1,271,56,0.0340785,0.7941,34,49,7,0.037429,0.75,4,3,False
directional_accuracy,3,2026-06-30,2026-07-01,2026-08-01,0.5,-0.1,320,63,0.0344508,0.7895,38,5,2,-0.023938,0.5,2,1,True
