document_id,ticker,report_date,entry_date,entry_close,ret_overnight,ret_1d,ret_3d,ret_5d,ret_10d,excess_overnight,excess_1d,excess_3d,excess_5d,excess_10d,run_id,excess_spy_aligned,timing_excluded
SPOT_FQ2_2025,SPOT,2025-07-29,2025-07-28,700.98,-0.061985,-0.11551,-0.106194,-0.060472,-0.016762,-0.063023,-0.11425,-0.08488,-0.048997,-0.028458,20260820_020202,1,NO
SPOT_FQ3_2025,SPOT,2025-11-04,2025-11-03,644.09,-0.029359,-0.022497,-0.040196,-0.032853,-0.005387,-0.028974,-0.025962,-0.033873,-0.044345,0.017064,20260820_020202,1,NO
SPOT_FQ4_2025,SPOT,2026-02-10,2026-02-09,414.84,0.115563,0.147479,0.074607,0.115659,0.122505,0.109393,0.14771,0.08959,0.124082,0.121017,20260820_020202,1,NO
STAN.L_FQ1_2025,STAN.L,2025-05-02,2025-05-01,1097.0,0.030082,-0.000456,-0.04649,-0.026892,0.049225,0.037475,0.005279,-0.036592,-0.022622,0.00081,20260820_020202,0,NO
STAN.L_FQ2_2025,STAN.L,2025-07-31,2025-07-30,1370.0,0.008759,-0.006934,-0.001095,0.001095,0.026277,0.017904,0.009456,0.005408,0.000826,0.005916,20260820_020202,0,NO
STAN.L_FQ3_2025,STAN.L,2025-10-30,2025-10-29,1516.0,0.019129,0.03628,0.042876,0.044855,0.083113,0.011466,0.032999,0.049628,0.058858,0.094572,20260820_020202,0,NO
STAN.L_FQ4_2025,STAN.L,2026-02-23,2026-02-20,1802.0,0.005272,0.007492,0.005827,0.016648,-0.0899,0.00599,0.000223,-0.004299,0.010801,-0.083863,20260820_020202,0,NO
SBUX_FQ1_2026,SBUX,2026-01-28,2026-01-28,95.16,0.016814,-0.013451,-0.036465,0.019021,0.041614,0.015419,-0.011467,-0.036451,0.032293,0.046589,20260820_020202,1,NO
SBUX_FQ3_2025,SBUX,2025-07-29,2025-07-29,92.96,0.052388,-0.002151,-0.06562,-0.02969,0.004411,0.051349,-0.000892,-0.044305,-0.018215,-0.007285,20260820_020202,1,NO
SBUX_FQ4_2025,SBUX,2025-10-29,2025-10-29,84.17,-0.023049,-0.012118,-0.038137,-0.015326,0.036711,-0.017971,-0.00112,-0.032245,-0.001055,0.042545,20260820_020202,1,NO
UNH_FQ2_2025,UNH,2025-07-29,2025-07-28,282.12,-0.058202,-0.074614,-0.115412,-0.145824,-0.105452,-0.059241,-0.073354,-0.094098,-0.134349,-0.117148,20260820_020202,1,NO
UNH_FQ3_2025,UNH,2025-10-28,2025-10-27,365.98,0.040166,0.005082,-0.058009,-0.087956,-0.121318,0.03775,0.004602,-0.050731,-0.070752,-0.115409,20260820_020202,1,NO
UNH_FQ4_2025,UNH,2026-01-27,2026-01-26,351.64,-0.164003,-0.196053,-0.168781,-0.187834,-0.21596,-0.166246,-0.195952,-0.163719,-0.179265,-0.211114,20260820_020202,1,NO
V_FQ1_2025,V,2025-04-29,2025-04-29,341.52,-0.020731,0.011654,0.017803,0.018096,0.042809,-0.008554,0.011257,-0.004639,0.010014,-0.015858,20260820_020202,1,NO
V_FQ1_2026,V,2026-04-28,2026-04-28,309.3,0.087617,0.082638,0.060556,0.041157,0.055351,0.088587,0.082793,0.047966,0.024184,0.01813,20260820_020202,1,NO
V_FQ2_2025,V,2025-07-29,2025-07-29,351.29,0.001167,-0.001082,-0.033989,-0.039455,-0.041419,0.000128,0.000178,-0.012675,-0.027979,-0.053115,20260820_020202,1,NO
V_FQ3_2025,V,2025-10-28,2025-10-28,346.9,-0.002594,-0.016201,-0.017757,-0.019026,-0.023004,-0.00501,-0.016681,-0.01048,-0.001822,-0.017094,20260820_020202,1,NO
WDAY_FQ1_2025,WDAY,2025-05-22,2025-05-22,272.07,-0.111993,-0.125188,-0.118242,-0.089536,-0.071121,-0.0998,-0.118363,-0.126199,-0.10034,-0.098647,20260820_020202,1,NO
WDAY_FQ2_2025,WDAY,2025-08-21,2025-08-21,227.58,-0.060199,-0.027727,-0.020652,0.004043,0.015379,-0.063676,-0.043083,-0.035773,-0.016994,-0.003014,20260820_020202,1,NO
WDAY_FQ3_2025,WDAY,2025-11-25,2025-11-25,233.69,-0.078523,-0.078523,-0.087038,-0.080662,-0.046814,-0.082389,-0.085426,-0.094816,-0.093803,-0.065406,20260820_020202,1,NO
WDAY_FQ4_2025,WDAY,2026-02-24,2026-02-24,130.23,-0.081932,0.022422,0.027106,0.102741,0.094141,-0.086049,0.013984,0.029084,0.112954,0.108937,20260820_020202,1,NO
