# LM baseline on extension corpus
# N=93 extension events
# Graded (|ret|>2%): 34
# LM thresholds (phase2 dev, frozen): upper=0.03020068, lower=-0.02977885
# Grading band: +-2% raw overnight (pre-registered)
# Extension is pure eval; no dev refitting.
document_id,ticker,report_date,ret_overnight,outcome_label,lm_score,lm_predicted_signal,lm_correct,model_predicted_signal,model_correct,lm_pos,lm_neg,lm_tokens
XOM_FQ4_2023,XOM,2024-02-02,0.0133,HOLD,0.01049054,HOLD,,HOLD,,542,400,13536
XOM_FQ4_2024,XOM,2025-01-31,0.0089,HOLD,0.00954762,HOLD,,HOLD,,341,257,8798
XOM_FQ4_2025,XOM,2026-01-30,-0.0126,HOLD,0.01670007,HOLD,,HOLD,,410,260,8982
FCX_FQ1_2026,FCX,2026-04-23,-0.115,SELL,0.00900673,HOLD,0,SELL,1,373,266,11880
FCX_FQ2_2025,FCX,2025-07-23,-0.0249,SELL,0.01267091,HOLD,0,HOLD,0,412,235,13969
FCX_FQ4_2025,FCX,2026-01-22,0.0033,HOLD,0.00944013,HOLD,,HOLD,,422,292,13771
HEINY_FQ1_2024,HEIA.AS,2024-03-01,0.0049,HOLD,0.0162715,HOLD,,HOLD,,82,47,2151
HEINY_FQ2_2024,HEIA.AS,2024-07-01,0.0055,HOLD,0.02283002,HOLD,,HOLD,,446,244,8848
HEINY_FQ3_2024,HEIA.AS,2024-10-01,0.0005,HOLD,0.00299018,HOLD,,HOLD,,66,59,2341
HEINY_FQ3_2025,HEIA.AS,2025-10-01,-0.0027,HOLD,0.0,HOLD,,SELL,,76,76,2674
RMS_FQ1_2025,RMSP.XC,2025-02-01,-0.0287,SELL,-0.00499287,HOLD,0,HOLD,0,86,100,2804
RMS_FQ2_2025,RMSP.XC,2025-07-01,-0.0364,SELL,0.00697618,HOLD,0,SELL,1,168,139,4157
RMS_FQ3_2025,RMSP.XC,2025-10-01,-0.0334,SELL,0.00697674,HOLD,0,HOLD,0,88,70,2580
RMS_FQ4_2025,RMSP.XC,2026-02-01,0.0308,BUY,0.01085602,HOLD,0,HOLD,0,245,184,5619
HD_FQ1_2026,HD,2026-05-19,-0.0265,SELL,0.02152252,HOLD,0,SELL,1,224,116,5018
HD_FQ2_2025,HD,2025-08-19,0.016,HOLD,0.01986982,HOLD,,HOLD,,250,134,5838
HD_FQ3_2025,HD,2025-11-18,-0.0504,SELL,0.01121865,HOLD,0,SELL,1,149,98,4546
HD_FQ4_2025,HD,2026-02-24,0.0321,BUY,0.0129543,HOLD,0,SELL,0,211,139,5558
INTC_FQ1_2026,INTC,2026-04-23,0.2309,BUY,-0.01718093,HOLD,0,HOLD,0,66,115,2852
INTC_FQ2_2025,INTC,2025-07-24,-0.0862,SELL,0.00471406,HOLD,0,SELL,1,300,262,8061
INTC_FQ3_2025,INTC,2025-10-23,0.0487,BUY,0.01382263,HOLD,0,BUY,1,362,249,8175
INTC_FQ4_2025,INTC,2026-01-22,-0.1373,SELL,0.0110881,HOLD,0,HOLD,0,328,237,8207
MA_FQ1_2026,MA,2026-04-30,-0.0395,SELL,-0.00013017,HOLD,0,SELL,1,223,224,7682
MA_FQ2_2025,MA,2025-07-31,0.0169,HOLD,0.00445038,HOLD,,HOLD,,249,209,8988
MA_FQ3_2025,MA,2025-10-30,-0.0054,HOLD,0.00710624,HOLD,,BUY,,264,203,8584
MA_FQ4_2025,MA,2026-01-29,0.02,HOLD,0.00853302,HOLD,,HOLD,,264,191,8555
NSRGY_FQ1_2026,NSRGY,2026-02-01,0.0244,BUY,0.01071429,HOLD,0,HOLD,0,204,150,5040
NSRGY_FQ3_2024,NSRGY,2024-10-01,-0.0037,HOLD,0.00099721,HOLD,,SELL,,173,168,5014
SHEL_FQ1_2026,SHEL,2026-05-01,-0.0052,HOLD,-0.01109411,HOLD,,HOLD,,62,91,2614
SHEL_FQ2_2025,SHEL,2025-08-01,0.0047,HOLD,-0.00478469,HOLD,,HOLD,,64,76,2508
SHEL_FQ3_2025,SHEL,2025-11-01,-0.0009,HOLD,-0.0020982,HOLD,,BUY,,58,63,2383
SHEL_FQ4_2025,SHEL,2026-02-01,-0.0129,HOLD,0.00274254,HOLD,,HOLD,,86,78,2917
SHOP_FQ1_2026,SHOP,2026-05-05,-0.0902,SELL,0.01885654,HOLD,0,HOLD,0,232,107,6629
SHOP_FQ3_2025,SHOP,2025-11-04,-0.0571,SELL,0.02144043,HOLD,0,BUY,0,259,117,6623
SHOP_FQ4_2025,SHOP,2026-02-11,0.0916,BUY,0.01872154,HOLD,0,BUY,1,204,93,5929
SONY_FQ1_2026,SONY,2026-08-01,-0.0241,SELL,-0.00815395,HOLD,0,HOLD,0,69,94,3066
SONY_FQ2_2025,SONY,2025-11-01,0.0029,HOLD,-0.00697443,HOLD,,BUY,,65,86,3011
SONY_FQ3_2025,SONY,2026-02-01,-0.0005,HOLD,-0.00167112,HOLD,,BUY,,83,88,2992
UNP_FQ1_2026,UNP,2026-05-06,0.0054,HOLD,0.01797524,HOLD,,SELL,,292,186,5897
UNP_FQ2_2025,UNP,2025-08-21,-0.0009,HOLD,0.02350736,HOLD,,HOLD,,312,149,6934
UNP_FQ3_2025,UNP,2025-11-05,-0.0053,HOLD,0.01411169,HOLD,,HOLD,,302,185,8291
UNP_FQ4_2025,UNP,2026-02-04,0.0043,HOLD,0.00602473,HOLD,,HOLD,,321,264,9461
