scope,dropped_key,n_dropped,n_remaining_trades,total_return_pct,delta_total_return_pct,avg_net_per_trade_pct,hit_rate,hit_rate_delta
QUARTER,2024-Q3,2,170,1275.42,9.87,1.7433,0.6294,0.0037
QUARTER,2026-Q3,3,169,1256.75,-8.8,1.7455,0.6272,0.0015
QUARTER,2023-Q4,1,170,1261.8,-3.75,1.7375,0.6235,-0.0022
QUARTER,2024-Q1,1,170,1268.44,2.89,1.7403,0.6294,0.0037
QUARTER,2023-Q3,1,170,1264.49,-1.06,1.7386,0.6235,-0.0022
QUARTER,2024-Q2,1,171,1265.55,0.0,1.7289,0.6257,0.0
EVENT,ORCL 2025-09-09,1,170,934.04,-331.51,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,PINS 2026-05-04,1,170,1577.79,312.24,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,PINS 2026-02-12,1,170,1013.73,-251.82,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,CMG 2025-10-29,1,170,1026.23,-239.32,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,ORCL 2025-12-10,1,170,1499.38,233.83,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,AMZN 2025-10-30,1,170,1457.42,191.87,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,UNH 2026-01-26,1,170,1074.16,-191.39,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,AVGO 2025-09-04,1,170,1075.88,-189.67,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,AMD 2026-05-05,1,170,1085.78,-179.77,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,NFLX 2025-01-21,1,170,1091.06,-174.49,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,AMD 2026-02-03,1,170,1439.52,173.97,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,MU 2025-12-17,1,170,1101.54,-164.01,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,DELL 2026-02-26,1,170,1108.45,-157.1,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,EXPE 2025-08-07,1,170,1111.78,-153.77,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,CMG 2025-07-23,1,170,1115.23,-150.32,n/a (fast-path),n/a (fast-path),n/a (fast-path)
EVENT,LULU 2025-12-11,1,170,1408.9,143.35,n/a (fast-path),n/a (fast-path),n/a (fast-path)
