company,ticker,year,quarter,event_key,us_non_us,folder_path,filename,doc_types_needed,manifest_exists,docs_on_disk
Duke Energy,DUK,2025,Q3,DUK_FQ3_2025,US,docs/duke_energy/CY2025-Q3/,DUK_Q3_2025_Press_Release.htm,Press Release,NO,NO
Duke Energy,DUK,2025,Q4,DUK_FQ4_2025,US,docs/duke_energy/CY2025-Q4/,DUK_Q4_2025_Press_Release.htm,Press Release,NO,NO
Duke Energy,DUK,2026,Q1,DUK_FQ1_2026,US,docs/duke_energy/CY2026-Q1/,DUK_Q1_2026_Press_Release.htm,Press Release,NO,NO
eBay,EBAY,2025,Q1,EBAY_FQ1_2025,US,docs/ebay/CY2025-Q1/,EBAY_Q1_2025_Press_Release.htm,Press Release,NO,NO
eBay,EBAY,2025,Q2,EBAY_FQ2_2025,US,docs/ebay/CY2025-Q2/,EBAY_Q2_2025_Press_Release.htm,Press Release,NO,NO
eBay,EBAY,2025,Q3,EBAY_FQ3_2025,US,docs/ebay/CY2025-Q3/,EBAY_Q3_2025_Press_Release.htm,Press Release,NO,NO
eBay,EBAY,2026,Q1,EBAY_FQ1_2026,US,docs/ebay/CY2026-Q1/,EBAY_Q1_2026_Press_Release.htm,Press Release,NO,NO
Freeport-McMoRan,FCX,2025,Q2,FCX_FQ2_2025,US,docs/freeport_mcmoran/CY2025-Q2/,FCX_Q2_2025_Press_Release.htm,Press Release,NO,NO
Freeport-McMoRan,FCX,2025,Q4,FCX_FQ4_2025,US,docs/freeport_mcmoran/CY2025-Q4/,FCX_Q4_2025_Press_Release.htm,Press Release,NO,NO
Freeport-McMoRan,FCX,2026,Q1,FCX_FQ1_2026,US,docs/freeport_mcmoran/CY2026-Q1/,FCX_Q1_2026_Press_Release.htm,Press Release,NO,NO
Home Depot,HD,2025,Q2,HD_FQ2_2025,US,docs/home_depot/CY2025-Q2/,HD_Q2_2025_Press_Release.htm,Press Release,NO,NO
Home Depot,HD,2025,Q3,HD_FQ3_2025,US,docs/home_depot/CY2025-Q3/,HD_Q3_2025_Press_Release.htm,Press Release,NO,NO
Home Depot,HD,2025,Q4,HD_FQ4_2025,US,docs/home_depot/CY2025-Q4/,HD_Q4_2025_Press_Release.htm,Press Release,NO,NO
Home Depot,HD,2026,Q1,HD_FQ1_2026,US,docs/home_depot/CY2026-Q1/,HD_Q1_2026_Press_Release.htm,Press Release,NO,NO
Heineken,HEIA.AS,2024,Q1,HEINY_FQ1_2024,non-US,docs/heineken/CY2024-Q1/,HEINY_Q1_2024_Press_Release.htm,Press Release,NO,NO
Heineken,HEIA.AS,2024,Q2,HEINY_FQ2_2024,non-US,docs/heineken/CY2024-Q2/,HEINY_Q2_2024_Press_Release.htm,Press Release,NO,NO
Heineken,HEIA.AS,2024,Q3,HEINY_FQ3_2024,non-US,docs/heineken/CY2024-Q3/,HEINY_Q3_2024_Press_Release.htm,Press Release,NO,NO
Heineken,HEIA.AS,2025,Q3,HEINY_FQ3_2025,non-US,docs/heineken/CY2025-Q3/,HEINY_Q3_2025_Press_Release.htm,Press Release,NO,NO
Intel,INTC,2025,Q2,INTC_FQ2_2025,US,docs/intel/CY2025-Q2/,INTC_Q2_2025_Press_Release.htm,Press Release,NO,NO
Intel,INTC,2025,Q3,INTC_FQ3_2025,US,docs/intel/CY2025-Q3/,INTC_Q3_2025_Press_Release.htm,Press Release,NO,NO
Intel,INTC,2025,Q4,INTC_FQ4_2025,US,docs/intel/CY2025-Q4/,INTC_Q4_2025_Press_Release.htm,Press Release,NO,NO
Intel,INTC,2026,Q1,INTC_FQ1_2026,US,docs/intel/CY2026-Q1/,INTC_Q1_2026_Press_Release.htm,Press Release,NO,NO
Mastercard,MA,2025,Q2,MA_FQ2_2025,US,docs/mastercard/CY2025-Q2/,MA_Q2_2025_Press_Release.htm,Press Release,NO,NO
