document_id,ticker,issuer,report_date,press_release,prepared_remarks,guidance,qa,doc_types_present,notes
AMKBY_FQ3_2025,AMKBY,p2_maersk,2025-11-05,absent,available,partial,available,EARNINGS DOCUMENT; EARNINGS PRESENTATION; EARNINGS CALL TRANSCRIPT,Other transcript; Human worksheet included
AMKBY_FQ4_2025,AMKBY,p2_maersk,2026-02-05,available,available,partial,available,EARNINGS PRESENTATION; PRESS RELEASE; EARNINGS CALL TRANSCRIPT,Other transcript
MCD_FQ1_2026,MCD,p2_mcdonalds,2026-05-07,absent,available,partial,available,EARNINGS CALL TRANSCRIPT; EARNINGS DOCUMENT,Motley Fool/Insider Monkey; Human worksheet included
MCD_FQ4_2024,MCD,p2_mcdonalds,2025-02-10,absent,available,partial,available,EARNINGS CALL TRANSCRIPT; EARNINGS DOCUMENT,Motley Fool/Insider Monkey; Human worksheet included
MCD_FQ4_2025,MCD,p2_mcdonalds,2026-02-11,absent,available,partial,available,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey; Human worksheet included
META_FQ1_2026,META,p2_meta,2026-04-29,absent,available,partial,available,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey; Human worksheet included
META_FQ3_2025,META,p2_meta,2025-10-29,absent,available,partial,available,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey; Human worksheet included
META_FQ4_2025,META,p2_meta,2026-01-28,absent,available,partial,available,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey; Human worksheet included
NKE_FQ1_2025,NKE,p2_nike,2024-10-01,absent,available,partial,available,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey; Human worksheet included
NKE_FQ2_2025,NKE,p2_nike,2024-12-19,absent,available,partial,available,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey; Human worksheet included
NKE_FQ3_2025,NKE,p2_nike,2025-03-20,absent,available,partial,available,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey; Human worksheet included
NVDA_FQ1_2025,NVDA,p2_nvidia,2025-02-26,absent,available,partial,available,EARNINGS CALL TRANSCRIPT; EARNINGS DOCUMENT,Motley Fool/Insider Monkey; Human worksheet included
NVDA_FQ2_2025,NVDA,p2_nvidia,2025-05-28,absent,available,partial,available,EARNINGS CALL TRANSCRIPT; EARNINGS DOCUMENT,Motley Fool/Insider Monkey; Human worksheet included
NVDA_FQ3_2025,NVDA,p2_nvidia,2025-08-27,absent,available,partial,available,EARNINGS CALL TRANSCRIPT; EARNINGS DOCUMENT,Motley Fool/Insider Monkey; Human worksheet included
NVDA_FQ4_2025,NVDA,p2_nvidia,2025-11-19,absent,available,partial,available,EARNINGS CALL TRANSCRIPT; EARNINGS DOCUMENT,Motley Fool/Insider Monkey; Human worksheet included
TSLA_FQ1_2026,TSLA,p2_tesla,2026-04-22,absent,available,partial,available,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey; Human worksheet included
TSLA_FQ3_2025,TSLA,p2_tesla,2025-10-22,absent,available,partial,available,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey; Human worksheet included
TSLA_FQ4_2025,TSLA,p2_tesla,2026-01-28,absent,available,partial,available,EARNINGS DOCUMENT; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey; Human worksheet included
UBER_FQ1_2025,UBER,p2_uber,2025-05-06,available,available,partial,available,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,FactSet
UBER_FQ1_2026,UBER,p2_uber,2026-05-05,available,available,partial,available,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,FactSet
UBER_FQ2_2025,UBER,p2_uber,2025-08-05,available,available,partial,available,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,FactSet
UBER_FQ4_2025,UBER,p2_uber,2026-02-03,available,available,partial,available,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,FactSet
WMT_FQ1_2025,WMT,p2_walmart,2025-05-14,absent,available,partial,available,EARNINGS CALL TRANSCRIPT; EARNINGS PRESENTATION; EARNINGS DOCUMENT,FactSet; Human worksheet included
WMT_FQ1_2026,WMT,p2_walmart,2026-05-20,absent,available,partial,available,EARNINGS CALL TRANSCRIPT; EARNINGS PRESENTATION; EARNINGS DOCUMENT,FactSet; Human worksheet included
WMT_FQ2_2025,WMT,p2_walmart,2025-08-20,absent,available,partial,available,EARNINGS CALL TRANSCRIPT; EARNINGS PRESENTATION; EARNINGS DOCUMENT,Other transcript; Human worksheet included
WMT_FQ3_2025,WMT,p2_walmart,2025-11-19,absent,available,partial,available,EARNINGS CALL TRANSCRIPT; EARNINGS PRESENTATION; EARNINGS DOCUMENT,FactSet; Human worksheet included
WMT_FQ4_2025,WMT,p2_walmart,2026-02-18,absent,available,partial,available,EARNINGS CALL TRANSCRIPT; EARNINGS PRESENTATION; EARNINGS DOCUMENT,FactSet; Human worksheet included
BAC_FQ1_2025,BAC,p2_bank_of_america,2025-04-15,available,absent,partial,absent,EARNINGS PRESENTATION; PRESS RELEASE; SUPPLEMENTAL INFORMATION,No transcript
BAC_FQ2_2025,BAC,p2_bank_of_america,2025-07-15,available,absent,partial,absent,EARNINGS PRESENTATION; PRESS RELEASE; SUPPLEMENTAL INFORMATION,No transcript
BAC_FQ3_2025,BAC,p2_bank_of_america,2025-10-14,available,absent,partial,absent,EARNINGS PRESENTATION; PRESS RELEASE; SUPPLEMENTAL INFORMATION,No transcript
BAC_FQ4_2025,BAC,p2_bank_of_america,2026-01-13,available,absent,partial,absent,EARNINGS PRESENTATION; PRESS RELEASE; SUPPLEMENTAL INFORMATION,No transcript
BA_FQ1_2025,BA,p2_boeing,2025-04-23,available,available,partial,available,EARNINGS PRESENTATION; PRESS RELEASE; EARNINGS CALL TRANSCRIPT,FactSet
BA_FQ2_2025,BA,p2_boeing,2025-07-29,available,absent,partial,absent,EARNINGS PRESENTATION; PRESS RELEASE,No transcript
BA_FQ3_2025,BA,p2_boeing,2025-10-29,available,absent,partial,absent,EARNINGS PRESENTATION; PRESS RELEASE,No transcript
BA_FQ4_2025,BA,p2_boeing,2026-01-26,available,available,partial,available,EARNINGS DOCUMENT; EARNINGS PRESENTATION; PRESS RELEASE; EARNINGS CALL TRANSCRIPT,Other transcript; Human worksheet included
DIS_FQ1_2025,DIS,p2_disney,2025-02-05,available,available,partial,available,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,Motley Fool/Insider Monkey
DIS_FQ3_2025,DIS,p2_disney,2025-08-05,available,available,partial,available,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,Other transcript
DIS_FQ4_2025,DIS,p2_disney,2025-11-12,available,available,partial,available,EARNINGS CALL TRANSCRIPT; PRESS RELEASE,Other transcript
JPM_FQ1_2025,JPM,p2_jpm,2025-04-10,absent,available,partial,available,EARNINGS CALL TRANSCRIPT,Other transcript
JPM_FQ1_2026,JPM,p2_jpm,2026-04-14,available,available,partial,available,PRESS RELEASE; EARNINGS CALL TRANSCRIPT,Motley Fool/Insider Monkey
JPM_FQ2_2025,JPM,p2_jpm,2025-07-15,absent,available,partial,available,EARNINGS CALL TRANSCRIPT,Other transcript
JPM_FQ3_2025,JPM,p2_jpm,2025-10-14,absent,available,partial,available,EARNINGS CALL TRANSCRIPT,Other transcript
JPM_FQ4_2025,JPM,p2_jpm,2026-01-13,absent,available,partial,available,EARNINGS CALL TRANSCRIPT,Other transcript
NFLX_FQ1_2025,NFLX,p2_netflix,2025-04-17,absent,available,partial,available,EARNINGS CALL TRANSCRIPT; EARNINGS DOCUMENT,Motley Fool/Insider Monkey; Human worksheet included
NFLX_FQ1_2026,NFLX,p2_netflix,2026-04-16,absent,available,partial,available,EARNINGS CALL TRANSCRIPT; EARNINGS DOCUMENT,Other transcript; Human worksheet included
NFLX_FQ2_2025,NFLX,p2_netflix,2025-07-17,absent,available,partial,available,EARNINGS CALL TRANSCRIPT; EARNINGS DOCUMENT,Motley Fool/Insider Monkey; Human worksheet included
