document_id,ticker,report_date,entry_date,entry_close,ret_overnight,ret_1d,ret_3d,ret_5d,ret_10d,excess_overnight,excess_1d,excess_3d,excess_5d,excess_10d,run_id,excess_spy_aligned,timing_excluded
GIS_FQ2_2026,GIS,2025-12-17,2025-12-16,47.02,0.020842,0.033815,0.017865,-0.008082,-0.011059,0.011608,0.026264,-0.002138,-0.036351,-0.02859,20260820_020202,1,NO
GIS_FQ3_2026,GIS,2026-03-18,2026-03-17,38.74,-0.002323,-0.029685,-0.044657,-0.050078,-0.039236,0.00442,-0.027221,-0.03551,-0.043108,-0.029877,20260820_020202,1,NO
GIS_FQ4_2026,GIS,2026-07-01,2026-06-30,34.8,0.083908,0.085345,0.037931,0.043966,0.06954,0.081709,0.086659,0.035316,0.035987,0.062889,20260820_020202,1,NO
