document_id,ticker,report_date,entry_date,entry_close,ret_overnight,ret_1d,ret_3d,ret_5d,ret_10d,excess_overnight,excess_1d,excess_3d,excess_5d,excess_10d,run_id,excess_spy_aligned,timing_excluded
DELL_FQ1_2025,DELL,2025-05-29,2025-05-29,113.63,-0.010121,-0.020769,-0.015225,-0.015929,-0.002024,-0.008222,-0.019651,-0.025461,-0.021013,-0.025242,20260820_020202,1,NO
DELL_FQ3_2025,DELL,2025-11-25,2025-11-25,125.92,0.060832,0.058291,0.048999,0.061229,0.11682,0.056966,0.051387,0.041222,0.048089,0.098228,20260820_020202,1,NO
DELL_FQ4_2025,DELL,2026-02-26,2026-02-26,121.45,0.131083,0.219267,0.195389,0.206422,0.234335,0.140092,0.224069,0.208402,0.218014,0.268051,20260820_020202,1,NO
