document_id,ticker,report_date,entry_date,entry_close,ret_overnight,ret_1d,ret_3d,ret_5d,ret_10d,excess_overnight,excess_1d,excess_3d,excess_5d,excess_10d,run_id,excess_spy_aligned,timing_excluded
TGT_FQ1_2025,TGT,2025-05-21,2025-05-20,98.12,-0.067468,-0.052079,-0.039034,-0.022218,-0.042601,-0.067125,-0.052474,-0.053257,-0.034553,-0.060084,20260820_020202,1,NO
TGT_FQ1_2026,TGT,2026-05-20,2026-05-19,127.24,-0.05525,-0.038588,-0.012889,0.008567,-0.019176,-0.051729,-0.040572,-0.025489,-0.009444,-0.040546,20260820_020202,1,NO
TGT_FQ2_2025,TGT,2025-08-20,2025-08-19,105.36,-0.103929,-0.063307,-0.058087,-0.087794,-0.123481,-0.101062,-0.059295,-0.064919,-0.101146,-0.140736,20260820_020202,1,NO
TGT_FQ3_2025,TGT,2025-11-19,2025-11-18,88.53,-0.023834,-0.027674,-0.010279,-0.022026,0.026996,-0.039348,-0.012432,-0.019485,-0.047757,-0.005842,20260820_020202,1,NO
