document_id,ticker,report_date,entry_date,entry_close,ret_overnight,ret_1d,ret_3d,ret_5d,ret_10d,excess_overnight,excess_1d,excess_3d,excess_5d,excess_10d,run_id,excess_spy_aligned,timing_excluded
F_FQ1_2026,F,2026-04-29,2026-04-29,12.24,-0.056373,-0.013072,-0.060457,-0.005719,0.10866,-0.060659,-0.023022,-0.069494,-0.036987,0.065475,20260820_020202,1,NO
F_FQ2_2025,F,2025-07-30,2025-07-30,10.87,-0.0092,0.018399,0.00736,0.031279,0.052438,-0.01708,0.02215,0.012545,0.033927,0.035999,20260820_020202,1,NO
F_FQ4_2025,F,2026-02-10,2026-02-10,13.57,0.003685,0.020634,0.040531,0.020634,0.063375,-0.002485,0.020865,0.055514,0.029057,0.061887,20260820_020202,1,NO
