document_id,ticker,report_date,entry_date,entry_close,ret_overnight,ret_1d,ret_3d,ret_5d,ret_10d,excess_overnight,excess_1d,excess_3d,excess_5d,excess_10d,run_id,excess_spy_aligned,timing_excluded
MSFT_FQ1_2025,MSFT,2024-10-30,2024-10-30,432.53,-0.039697,-0.060528,-0.055649,-0.028553,-0.016947,-0.032024,-0.040924,-0.038063,-0.04757,-0.046567,20260820_020202,1,NO
MSFT_FQ1_2026,MSFT,2025-10-29,2025-10-29,541.55,-0.020441,-0.029157,-0.045277,-0.063503,-0.056154,-0.015364,-0.018159,-0.039386,-0.049232,-0.05032,20260820_020202,1,NO
MSFT_FQ2_2025,MSFT,2025-01-29,2025-01-29,442.33,-0.053263,-0.061809,-0.07101,-0.065652,-0.075261,-0.056836,-0.067176,-0.064297,-0.069657,-0.077836,20260820_020202,1,NO
