document_id,ticker,report_date,entry_date,entry_close,ret_overnight,ret_1d,ret_3d,ret_5d,ret_10d,excess_overnight,excess_1d,excess_3d,excess_5d,excess_10d,run_id,excess_spy_aligned,timing_excluded
JPM_FQ1_2025,JPM,2025-04-11,2025-04-10,227.11,-0.003523,0.040025,0.026507,0.021355,0.072388,-0.022457,0.030323,0.042014,0.058925,0.040718,20260820_020202,1,NO
JPM_FQ1_2026,JPM,2026-04-14,2026-04-13,313.68,-0.012305,-0.008161,-0.011891,0.010552,-0.006535,-0.013457,-0.016052,-0.03447,-0.0033,-0.031346,20260820_020202,1,NO
JPM_FQ2_2025,JPM,2025-07-15,2025-07-14,288.7,-0.002425,-0.007447,0.004157,0.007863,0.033183,-0.004996,-0.01079,-0.004588,-0.002939,0.012095,20260820_020202,1,NO
JPM_FQ3_2025,JPM,2025-10-14,2025-10-13,307.97,-0.006916,-0.019125,-0.03062,-0.018216,-0.012404,-0.013847,-0.023565,-0.033882,-0.031897,-0.049898,20260820_020202,1,NO
JPM_FQ4_2025,JPM,2026-01-13,2026-01-12,324.49,-0.000586,-0.041881,-0.046935,-0.067028,-0.074517,0.003407,-0.036966,-0.043894,-0.054964,-0.076895,20260820_020202,1,NO
