document_id,ticker,report_date,entry_date,entry_close,ret_overnight,ret_1d,ret_3d,ret_5d,ret_10d,excess_overnight,excess_1d,excess_3d,excess_5d,excess_10d,run_id,excess_spy_aligned,timing_excluded
BA_FQ1_2025,BA,2025-04-23,2025-04-22,162.52,0.070637,0.060608,0.094942,0.119862,0.144228,0.068209,0.039559,0.066124,0.084152,0.096173,20260820_020202,1,NO
BA_FQ2_2025,BA,2025-07-29,2025-07-28,236.41,0.01307,-0.043695,-0.06163,-0.059515,-0.044203,0.012032,-0.042436,-0.040316,-0.04804,-0.055899,20260820_020202,1,NO
BA_FQ3_2025,BA,2025-10-29,2025-10-28,223.33,-0.008821,-0.043657,-0.099897,-0.113196,-0.125912,-0.003744,-0.032659,-0.094005,-0.098924,-0.120079,20260820_020202,1,NO
BA_FQ4_2025,BA,2026-01-27,2026-01-26,248.43,-0.02387,-0.015578,-0.057924,-0.06203,-0.014974,-0.026113,-0.015477,-0.052863,-0.05346,-0.010128,20260820_020202,1,NO
